Tx;Time;Msg Type;Amount;Amount / 100;Asset;ToAddress;Administrator;FromAddress;;Asset;;;;;Total Tx
8434E370282071CE77BDB459F1DBEB1B6B954F0B135D2A32898BE29A006F457F;2022-07-21T20:16:54.580Z;/provenance.marker.v1.MsgWithdrawRequest;110652;1106,52;osmo-systems.ss2.stock;pb1vl6y9erfvuhxlu2rn8j8x9jtkqqv53w54u8mnf;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.2awklqvocjas7itxayraou;;;;;1
FA10AEAC2C1D62721D5174BC055D035BD5A3B9B03D512CDEF77249FB28837250;2022-07-21T20:16:49.169Z;/provenance.marker.v1.MsgWithdrawRequest;2861242;28612,42;osmo-systems.ss2.stock;pb1radkx43ephaqjjwesyj24044fnsfqvnsh74phx;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.2jryaqt3v3rbqx5vrknjzh;;;;;1
243F14117068F0CDFB7107244EF128DAB6E236F3D65178AB7F35A91DE4545DAA;2022-07-22T01:42:12.799Z;/provenance.marker.v1.MsgWithdrawRequest;1746;17,46;cfigurepaydebt;pb1jdc3rt7aphj2wphktgvz4mywleyjc0eg0fngkd;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;undefined;;pm.participation.agreement.2mkikmzlbnqnf4mnduvz3m;;;;;1
243F14117068F0CDFB7107244EF128DAB6E236F3D65178AB7F35A91DE4545DAA;2022-07-22T01:42:12.799Z;/cosmos.bank.v1beta1.MsgSend;1746;17,46;cfigurepayomni;pb1jdc3rt7aphj2wphktgvz4mywleyjc0eg0fngkd;undefined;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;;pm.participation.agreement.2n7wfefvuimntntyowhxwi;;;;;1
243F14117068F0CDFB7107244EF128DAB6E236F3D65178AB7F35A91DE4545DAA;2022-07-22T01:42:12.799Z;/cosmos.bank.v1beta1.MsgSend;630;6,3;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1jdc3rt7aphj2wphktgvz4mywleyjc0eg0fngkd;;pm.participation.agreement.2oyhwxdrp8vfxewr6jsigv;;;;;1
243F14117068F0CDFB7107244EF128DAB6E236F3D65178AB7F35A91DE4545DAA;2022-07-22T01:42:12.799Z;/cosmos.bank.v1beta1.MsgSend;2000;20;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1jdc3rt7aphj2wphktgvz4mywleyjc0eg0fngkd;;pm.participation.agreement.2vtgs7nj53kmwm8fgsiwnx;;;;;1
E5C9926A6498BAEFFBFDA08283B5A87523A49BC2517591AA8AEFE752715F4A36;2022-07-22T14:36:02.353Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.5ymlqlgptqacnnrvoewjwc;pb1nn56844e6xdvlluglw35mnchuz383ulnyz8cjj;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.3nobzydb81dfdyfcg1cboo;;;;;1
5DD977A3BF30B94788ED98C1AA5C6CB6C7788639E89FB20C7263040987717894;2022-07-22T16:34:42.620Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.4ixibu8h8rwnz0epq5z0gv;pb14sew7dgzpaayrej4adlg7cv7ey8mh8smfvh8j4;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.3rqbe8xp2homrq8eakjbps;;;;;1
550896A284F442B49C44BDBE3C73CF0B8DC6A5C383A081B19E1E6CED6509743C;2022-07-22T18:36:36.316Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.25bitbs9gl27actpjgyemw;pb10yc7pqdk8fn65mfma87cgcxylx9el0zmcz876k;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.3s74zybvjle1nbv3c4o6m7;;;;;1
97BCEF754394CE865B740FED200ED267FCC11BB70316390FA962906667CC8CED;2022-07-22T18:41:48.675Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.2wvcjoqewpe6kgywq1g0qg;pb10yc7pqdk8fn65mfma87cgcxylx9el0zmcz876k;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.45vugkialge6xxthhan89x;;;;;1
7DDBFF607027FD7E9D4F291BEF6412048466287EE9B77A86B81C1458620B97E5;2022-07-22T18:39:49.738Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.4j23flijzaaa8qwlnjif3m;pb10yc7pqdk8fn65mfma87cgcxylx9el0zmcz876k;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.46jy9y7ap8f3kpk0btrbo3;;;;;1
08FF27C3ED2DBFC55318BD5446E6B4FC168EB97C0C6769D17EDEC7D99E14D4BB;2022-07-22T15:54:03.401Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.5ttiedaknkunapko9j9bko;pb10yc7pqdk8fn65mfma87cgcxylx9el0zmcz876k;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;pm.participation.agreement.46tomrwqimcrt91gq5l7jn;;;;;1
19ED3B9FCC668BCF380488B80D0BDC2A72E471D624E120DFAF828E9E65169DDC;2022-07-21T20:16:36.738Z;/provenance.marker.v1.MsgWithdrawRequest;36884;368,84;osmo-systems.ss2.stock;pb1mdz735t6rhljyrrwaqcy52qc3atqe42z9ufydg;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.4dwgk237xfbka86pken8yq;;;;;1
62025F89B843D29B547B04002858656C7F2EC03BBBCC2E31992275E7C7D7CEF4;2022-07-21T20:16:43.389Z;/provenance.marker.v1.MsgWithdrawRequest;112128;1121,28;osmo-systems.ss2.stock;pb1r9kxp4aw44zdaypvxdj238vsy32fdzem3wr5af;pb1us4twdsysm4sgt750k3ler8hfhseyzdk8tcvre;undefined;;pm.participation.agreement.4fguharrhns7y28kjpwq4a;;;;;1
4A4312299B1E67774A0E45D126EE3E28649263639639803B47E1DAC16806E0BE;2022-07-22T01:12:15.251Z;/provenance.marker.v1.MsgWithdrawRequest;48;0,48;cfigurepaydebt;pb1ghu6ff9tykga5zzdq8pxmevgharaw7ptygdkmq;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;undefined;;pm.participation.agreement.4fhh6jz40plh8puo2maoxw;;;;;1
